"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"27-JUN-2019","ASTERDM","Aster DM Healthcare Ltd.","RIMCO INDIA LIMITED","BUY","82,87,025","120.00",
"27-JUN-2019","ASTERDM","Aster DM Healthcare Ltd.","TRUE NORTH FUND III A","SELL","82,87,025","120.00",
"05-JUL-2019","LAKSHVILAS","Lakshmi Vilas Bank Ltd","BELGRAVE INVESTMENT FUND","SELL","14,10,000","71.00",
"05-JUL-2019","LAKSHVILAS","Lakshmi Vilas Bank Ltd","NARANTAK DEALCOMM LIMITED","BUY","14,10,000","71.00",
"29-JUL-2019","FLFL","Fut Lifestyle Fash Ltd","BTO FBI III PTE LTD","BUY","1,16,84,716","466.25",
"29-JUL-2019","FLFL","Fut Lifestyle Fash Ltd","RYKA COMMERCIAL VENTURES PRIVATE LIMITED","SELL","1,16,84,716","466.25",
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","ADVANCE ASIAN SHARES MULTI-BLEND FUND","BUY","55,571","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","AL MEHWAR COMMERCIAL INVESTMENTS L.L.C","BUY","1,09,730","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","ALLIANZ GLOBAL INVESTORS GMBH ACTING ON BEHALF OF ALLIANZGI-FONDS GS INDIA EQUITY","BUY","11,670","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","ATLAS SINGAPORE MASTER FD PTE. LTD","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","AURIGIN MASTER FUND LIMITED","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","AVENDUS ABSOLUTE RETURN FUND","BUY","1,30,000","780.00","-"
"20-AUG-2019","MGL","Mahanagar Gas Ltd.","BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED","BUY","1,30,000","780.00","-"
