Date,Open,High,Low,Close,Volume
2016-06-13,715.0,725.0,705.0,715.0,2530
2016-06-14,720.0,770.0,715.0,740.0,5571
2016-06-15,740.0,760.0,730.0,740.0,3496
2016-06-16,740.0,740.0,720.0,730.0,3606
2016-06-17,735.0,740.0,720.0,720.0,3028
2016-06-20,715.0,790.0,700.0,760.0,10072
2016-06-21,780.0,785.0,745.0,745.0,2920
2016-06-22,755.0,755.0,725.0,730.0,2619
2016-06-23,730.0,735.0,720.0,730.0,2277
2016-06-24,720.0,720.0,665.0,710.0,7643
2016-06-27,715.0,720.0,705.0,715.0,2242
2016-06-28,720.0,735.0,710.0,715.0,2914
2016-06-29,725.0,855.0,715.0,855.0,21607
2016-06-30,890.0,940.0,815.0,910.0,74912
2016-07-01,920.0,950.0,885.0,900.0,25146
2016-07-04,900.0,930.0,870.0,890.0,12095
2016-07-05,895.0,895.0,865.0,865.0,5141
2016-07-07,880.0,895.0,860.0,865.0,5737
2016-07-08,900.0,930.0,890.0,895.0,13067
2016-07-11,910.0,920.0,890.0,895.0,4484
2016-07-12,895.0,900.0,870.0,880.0,4287
2016-07-13,880.0,890.0,840.0,860.0,4938
2016-07-14,855.0,910.0,850.0,885.0,11740
2016-07-15,900.0,900.0,860.0,865.0,4820
2016-07-18,875.0,895.0,855.0,860.0,3719
2016-07-19,850.0,880.0,830.0,845.0,4556
2016-07-20,840.0,875.0,820.0,855.0,7231
2016-07-21,860.0,860.0,825.0,830.0,3764
2016-07-22,840.0,845.0,825.0,825.0,2813
2016-07-25,830.0,850.0,820.0,840.0,2318
2016-07-26,845.0,915.0,825.0,875.0,12561
2016-07-27,900.0,900.0,865.0,875.0,3829
2016-07-28,890.0,890.0,865.0,865.0,3292
2016-07-29,865.0,875.0,855.0,855.0,3098
2016-08-01,855.0,885.0,830.0,855.0,7061
2016-08-02,855.0,855.0,815.0,820.0,6262
2016-08-03,830.0,830.0,780.0,805.0,4924
2016-08-04,820.0,820.0,790.0,795.0,1791
