Date,Open,High,Low,Close,Volume
2016-06-13,26352.202386341974,26487.11127227888,25632.68832801182,26212.296875,1446
2016-06-20,26282.249958061733,26582.04748610046,24983.12733656058,26062.3984375,1466
2016-06-27,26382.180592291705,28980.425650623463,23988.797163559182,26447.13671875,1314
2016-07-04,26831.87885480362,27181.642638758232,26252.270298535983,26557.064453125,1105
2016-07-11,26582.048103667734,28980.42838369791,24878.198779729635,26497.10546875,1326
2016-07-18,26981.77868373181,27951.124066073287,25232.959694971414,26437.146484375,1155
2016-07-25,26482.116115514553,26881.84617008836,25782.588520010395,26437.146484375,1364
2016-08-01,26582.045929915625,26956.792818025337,25572.7276446068,26352.201171875,1337
2016-08-08,26382.18309859155,26981.778169014084,25992.4463028169,26607.03125,1320
2016-08-15,26607.030175340366,26981.7770792184,26082.384509911117,26562.060546875,1031
2016-08-22,26582.0473745507,26971.784159365543,26082.38482991629,26412.162109375,1274
2016-08-29,26582.047188743134,26681.97969697149,25992.445390195822,26377.185546875,1304
2016-09-05,26377.18415315448,26691.971537441037,26187.312397553065,26482.11328125,1028
2016-09-12,26532.08092344106,26706.962812766942,26022.425131691343,26322.22265625,1450
2016-09-19,26472.12231306333,26671.987336189515,25402.844439338234,26332.216796875,1402
2016-09-26,26388.1798245614,26967.920138888887,22100.100603070176,25638.515625,1473
2016-10-03,25898.398057232193,26253.23909583958,25488.581646446197,25823.431640625,1287
2016-10-10,25688.492998259833,25988.35867528232,22979.70638249002,25668.501953125,765
2016-10-17,25888.404087158484,27272.78399683858,25773.455574802374,26158.283203125,1403
2016-10-24,26488.134251447926,28087.417828893835,25688.492462724967,26103.306640625,1425
2016-10-31,26103.30732461642,26488.134945523077,25008.797597622164,25773.455078125,1050
2016-11-07,25788.448769755745,27932.488405845903,25278.677108028016,26088.314453125,1271
2016-11-14,26088.313173020957,26882.957194957802,25088.76094416958,25758.4609375,1030
2016-11-21,25988.357709544573,26493.1315804415,25258.68458923813,25788.447265625,1313
2016-11-28,25993.3567257154,26937.933618843683,23639.41113490364,25673.5,1860
2016-12-05,25678.49656190926,26937.93236058601,25078.76522920605,26438.15625,2256
2016-12-12,26638.066692019558,26937.932358346232,25998.353270522653,26643.064453125,1306
2016-12-19,26842.976328422916,27677.6024775286,25888.403906391864,27522.671875,1309
2016-12-26,27637.619672738365,29486.791332578003,27522.67116415374,28672.15625,1299
2017-01-02,29136.94768100143,30476.347677315047,28412.2723098616,29656.71484375,1349
2017-01-09,29691.699224377648,30486.343253442796,28317.314897378175,29486.791015625,1983
2017-01-16,29491.789761970897,29681.70469350028,28527.22182025587,28957.029296875,1821
2017-01-23,28992.01323863026,29366.845335320017,28527.221438734967,29086.970703125,1014
2017-01-30,29186.924731582072,29986.566505050076,28687.148623164572,29441.810546875,1287
2017-02-06,29441.812148410532,29976.57261350643,28487.239729407578,28957.029296875,1326
2017-02-13,28992.013091957404,29676.70638511344,28717.13622244221,29186.92578125,1278
2017-02-20,28992.013016299614,29136.948092574858,27587.642104805014,28707.140625,1110
2017-02-27,28797.101109561667,28992.013803638878,27722.582411443695,28447.2578125,1365
2017-03-06,28507.23103969506,28987.016134332283,28332.30939060857,28517.2265625,1293
2017-03-13,28517.2255591473,28827.086755198325,28282.33078149572,28602.1875,1083
2017-03-20,28657.16364945009,29711.6912968226,23399.518696673407,25333.65234375,2085
2017-03-27,24988.80609521256,26188.268787782763,24798.891168888946,25628.51953125,1882
2017-04-03,25698.487520173123,28947.032228090768,25048.778578589594,25548.5546875,1239
2017-04-10,25618.525030048077,26278.229537259616,24798.892157451923,25338.650390625,1208
2017-04-17,25228.697837642245,26987.90973123378,24494.026961625324,25033.78515625,1546
2017-04-24,25238.69507447937,27587.64293289626,24114.198759279792,25918.390625,1602
2017-05-01,25918.39029624819,26987.911222472085,23999.249942650174,24169.173828125,1540
2017-05-08,24089.20927856956,24818.882422692204,23149.630161480123,23889.298828125,1806
2017-05-15,24389.0739817342,24958.81874278291,22689.835220711735,23804.3359375,1758
2017-05-22,23899.29489747699,23899.29489747699,22489.926189595662,22804.78515625,1508
2017-05-29,22909.737983888408,26788.00078395329,22489.926031304065,23109.6484375,1470
2017-06-05,23794.341977954038,25688.493544777095,22190.060571752976,23934.279296875,1569
2017-06-12,24259.133083535708,24733.92040181669,22994.699488534774,23409.513671875,1496
2017-06-19,23189.611946117442,26188.268663287803,22789.79105049473,23234.591796875,1639
2017-06-26,23234.59166104616,25188.716276978415,22719.822260941248,22924.73046875,1202
2017-07-03,22899.741750760717,24209.155181293085,22594.878318461197,23199.607421875,1481
2017-07-10,23114.64611845795,23884.301362186063,22689.836406010614,22834.771484375,1444
2017-07-17,23759.356831375517,24638.96280578067,22789.791155042567,22894.744140625,1531
2017-07-24,22914.736300143268,23489.47886819484,22509.917621776505,22674.84375,1470
2017-07-31,22989.700886490788,22989.700886490788,22115.092700591682,22779.794921875,1403
2017-08-07,22914.736259321733,23389.523597301137,21490.374245383522,21990.150390625,1477
2017-08-14,22689.83576661825,23464.4887498398,21715.27233611372,21935.173828125,1192
2017-08-21,22140.08270566397,22280.020022990964,20490.821465738663,21160.521484375,1394
2017-08-28,21090.551806803927,21290.46225047032,14793.372831312709,14943.3056640625,2496
2017-09-04,15293.149811441233,15443.082652729872,13518.944522859,14308.5908203125,3423
2017-09-11,13903.772168648491,14473.516966357309,12794.269141531322,12924.2109375,1959
2017-09-18,13475.0,13800.0,10420.0,10420.0,2263
