Date,Open,High,Low,Close,Volume
2016-06-13,40.0,40.0,30.0,30.0,1576
2016-06-20,35.0,35.0,30.0,35.0,481
2016-06-27,35.0,35.0,30.0,30.0,1369
2016-07-04,30.0,35.0,30.0,30.0,768
2016-07-11,35.0,40.0,30.0,35.0,2211
2016-07-18,30.0,40.0,30.0,40.0,594
2016-07-25,40.0,40.0,30.0,35.0,721
2016-08-01,35.0,35.0,30.0,35.0,2611
2016-08-08,30.0,35.0,25.0,25.0,8372
2016-08-15,25.0,30.0,25.0,30.0,1320
2016-08-22,30.0,30.0,25.0,30.0,1091
2016-08-29,30.0,30.0,25.0,30.0,3290
2016-09-05,30.0,30.0,25.0,30.0,1974
2016-09-12,25.0,30.0,25.0,30.0,523
2016-09-19,25.0,35.0,25.0,25.0,3221
2016-09-26,25.0,30.0,25.0,30.0,2545
2016-10-03,25.0,30.0,25.0,30.0,622
2016-10-10,30.0,30.0,25.0,30.0,779
2016-10-17,35.0,35.0,25.0,35.0,2220
2016-10-24,35.0,35.0,30.0,30.0,2710
2016-10-31,30.0,35.0,25.0,30.0,2411
2016-11-07,35.0,35.0,25.0,30.0,1306
2016-11-14,30.0,35.0,25.0,30.0,1267
2016-11-21,30.0,35.0,25.0,30.0,2507
2016-11-28,25.0,35.0,25.0,25.0,749
2016-12-05,25.0,35.0,25.0,35.0,1911
2016-12-12,35.0,35.0,25.0,30.0,5060
2016-12-19,30.0,35.0,25.0,30.0,1183
2016-12-26,35.0,35.0,25.0,30.0,3310
2017-01-02,25.0,35.0,25.0,30.0,4084
2017-01-09,30.0,35.0,25.0,30.0,3487
2017-01-16,30.0,35.0,25.0,30.0,12048
2017-01-23,30.0,35.0,25.0,30.0,1870
2017-01-30,25.0,30.0,25.0,30.0,9098
2017-02-06,30.0,30.0,25.0,30.0,4150
2017-02-13,25.0,35.0,25.0,30.0,2891
2017-02-20,25.0,35.0,25.0,25.0,1363
2017-02-27,30.0,35.0,25.0,30.0,1580
2017-03-06,25.0,30.0,25.0,30.0,2308
2017-03-13,30.0,30.0,25.0,30.0,2233
2017-03-20,30.0,30.0,25.0,30.0,4226
2017-03-27,25.0,30.0,20.0,25.0,41052
2017-04-03,25.0,30.0,20.0,30.0,15970
2017-04-10,25.0,25.0,20.0,25.0,996
2017-04-17,25.0,25.0,20.0,20.0,2123
2017-04-24,25.0,25.0,20.0,20.0,1953
2017-05-01,20.0,25.0,20.0,25.0,1225
2017-05-08,20.0,25.0,15.0,25.0,318
2017-05-15,20.0,25.0,15.0,20.0,672
2017-05-22,20.0,20.0,15.0,20.0,574
2017-05-29,20.0,20.0,15.0,20.0,117
2017-06-05,15.0,15.0,15.0,15.0,620
2017-06-12,15.0,15.0,10.0,15.0,1475
2017-06-19,15.0,20.0,10.0,20.0,180
2017-06-26,20.0,25.0,15.0,20.0,113
2017-07-03,20.0,25.0,15.0,25.0,146
2017-07-10,25.0,25.0,20.0,25.0,633
2017-07-17,25.0,25.0,20.0,25.0,213
2017-07-24,25.0,25.0,20.0,25.0,841
2017-07-31,25.0,25.0,15.0,25.0,1217
2017-08-07,20.0,25.0,15.0,15.0,3622
2017-08-14,15.0,25.0,15.0,20.0,1806
2017-08-21,25.0,25.0,15.0,20.0,926
2017-08-28,15.0,25.0,15.0,20.0,6840
2017-09-04,25.0,25.0,20.0,25.0,18323
2017-09-11,25.0,25.0,20.0,20.0,18374
2017-09-18,25.0,25.0,20.0,20.0,17012
2017-09-25,25.0,25.0,15.0,25.0,58097
2017-10-02,25.0,40.0,20.0,35.0,112970
2017-10-09,30.0,30.0,20.0,20.0,6143
2017-10-16,25.0,25.0,20.0,20.0,1848
2017-10-23,15.0,25.0,15.0,25.0,1072
2017-10-30,20.0,25.0,20.0,25.0,576
2017-11-06,25.0,25.0,15.0,20.0,1746
2017-11-13,25.0,25.0,20.0,20.0,1616
2017-11-20,25.0,35.0,20.0,35.0,14401
2017-11-27,30.0,35.0,30.0,30.0,7294
2017-12-04,35.0,40.0,30.0,35.0,5858
2017-12-11,30.0,35.0,30.0,35.0,1331
2017-12-18,30.0,35.0,30.0,30.0,3279
2017-12-25,30.0,35.0,30.0,35.0,1549
2018-01-01,35.0,40.0,30.0,35.0,5396
2018-01-08,40.0,60.0,35.0,60.0,76010
2018-01-15,65.0,85.0,60.0,75.0,95173
2018-01-22,70.0,70.0,55.0,55.0,5084
2018-01-29,50.0,70.0,45.0,60.0,29443
2018-02-05,55.0,60.0,45.0,50.0,21661
2018-02-12,50.0,55.0,45.0,50.0,15856
2018-02-19,50.0,50.0,40.0,45.0,15045
2018-02-26,45.0,50.0,35.0,45.0,8554
2018-03-05,45.0,45.0,35.0,40.0,9266
2018-03-12,40.0,40.0,35.0,40.0,6833
2018-03-19,35.0,40.0,30.0,35.0,8146
2018-03-26,40.0,40.0,30.0,30.0,3673
2018-04-02,30.0,40.0,30.0,40.0,5615
2018-04-09,40.0,40.0,30.0,35.0,25694
2018-04-16,30.0,40.0,30.0,30.0,12741
2018-04-23,30.0,35.0,25.0,35.0,11573
2018-04-30,35.0,35.0,25.0,30.0,3666
2018-05-07,25.0,30.0,15.0,20.0,11542
2018-05-14,25.0,25.0,15.0,25.0,7905
2018-05-21,25.0,25.0,20.0,25.0,7842
2018-05-28,25.0,30.0,20.0,25.0,8720
2018-06-04,25.0,25.0,20.0,20.0,7302
2018-06-11,25.0,25.0,20.0,20.0,11710
2018-06-18,25.0,25.0,20.0,25.0,19672
2018-06-25,20.0,25.0,15.0,15.0,30405
2018-07-02,20.0,25.0,15.0,20.0,13823
2018-07-09,20.0,25.0,15.0,20.0,13421
2018-07-16,20.0,25.0,15.0,20.0,10651
2018-07-23,15.0,20.0,15.0,20.0,13919
2018-07-30,20.0,20.0,15.0,15.0,8997
2018-08-06,15.0,20.0,15.0,15.0,11599
2018-08-13,20.0,20.0,15.0,20.0,8976
2018-08-20,20.0,20.0,15.0,15.0,12678
2018-08-27,20.0,20.0,15.0,20.0,26982
2018-09-03,15.0,20.0,10.0,20.0,36649
2018-09-10,20.0,20.0,15.0,20.0,27255
2018-09-17,20.0,20.0,10.0,20.0,33617
2018-09-24,20.0,20.0,10.0,15.0,28677
2018-10-01,15.0,20.0,10.0,10.0,20353
2018-10-08,15.0,20.0,10.0,15.0,15518
2018-10-15,15.0,20.0,10.0,15.0,25425
2018-10-22,10.0,20.0,10.0,10.0,13721
2018-10-29,15.0,20.0,10.0,15.0,25328
2018-11-05,10.0,15.0,10.0,15.0,13839
2018-11-12,15.0,20.0,10.0,15.0,50137
2018-11-19,15.0,25.0,10.0,20.0,42619
2018-11-26,20.0,20.0,10.0,15.0,67802
2018-12-03,15.0,15.0,10.0,15.0,15071
2018-12-10,10.0,15.0,10.0,15.0,17582
2018-12-17,10.0,15.0,10.0,10.0,16430
2018-12-24,15.0,15.0,10.0,10.0,13239
