"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Akash Infra Projects Limited","74.59","25.41","0","-","12-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126500_15496_18062018032516_WEB.xml","18-JUN-2018 15:40:04",,"::"
"SONAM LIMITED","71.94","28.06","0","-","12-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126529_16384_29062018054109_WEB.xml","03-JUL-2018 15:10:09",,"::"
"Dhani Services Limited","36.75","63.25","0","-","11-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126488_15305_14062018123335_WEB.xml","14-JUN-2018 12:40:05",,"::"
"Godrej Properties Limited","70.68","29.32","0","-","08-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126494_15485_18062018121312_WEB.xml","18-JUN-2018 12:40:21",,"::"
"Gruh Finance Limited","57.93","42.07","0","-","08-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126484_14944_08062018045205_WEB.xml","08-JUN-2018 17:10:05",,"::"
"Oriental Trimex Limited","29.35","70.65","0","-","08-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126496_15413_15062018050616_WEB.xml","15-JUN-2018 17:10:05",,"::"
"Electrosteel Steels Limited","0.22","99.78","0","Revised","06-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126485_15042_08062018102727_WEB.xml","26-JUN-2018 17:10:07",,"::"
"Debock Industries Limited","88.76","11.24","0","-","04-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_131468_51920_17102018015235_WEB.xml","02-NOV-2018 11:40:18",,"::"
"S. P. Apparels Limited","61.34","38.66","0","-","04-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126506_15727_20062018060156_WEB.xml","20-JUN-2018 18:10:05",,"::"
"Tata Consultancy Services Limited","71.92","28.08","0","-","03-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","03-JUN-2018 22:40:03",,"::"
"Arvind SmartSpaces Limited","60.18","39.82","0","-","02-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-JUN-2018 16:40:04",,"::"
"Latteys Industries Limited","73.43","26.57","0","-","01-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUN-2018 15:40:03",,"::"
"Shree Vasu Logistics Limited","73","27","0","-","01-JUN-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126757_17833_06072018034949_WEB.xml","06-JUL-2018 18:40:06",,"::"
"Suumaya Lifestyle Limited","31.48","68.52","0","-","31-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_129418_39329_24092018032850_WEB.xml","25-SEP-2018 14:10:11",,"::"
"BSE Limited","0","70.99","0","-","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126479_14995_08062018053417_WEB.xml","08-JUN-2018 17:40:05",,"::"
"AvenuesAI Limited","37.38","62.33","0.29","Revised","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","10-JUL-2018 09:10:07",,"::"
"Ducon Infratechnologies Limited","70.16","29.84","0","-","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUN-2018 16:40:04",,"::"
"Emami Realty Limited","50.5","49.5","0","-","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","02-JUN-2018 12:40:04",,"::"
"Murudeshwar Ceramics Limited","66.83","33.17","0","Revised","30-MAY-2018","05-JUN-2018","15-JUL-2022","https://nsearchives.nseindia.com/corporate/xbrl/-","15-JUL-2022 18:10:10",,"::"
"Satin Creditcare Network Limited","26.73","72.39","0.88","Revised","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126481_14929_08062018040939_WEB.xml","29-SEP-2020 18:10:19",,"::"
"Uniply Industries Limited","24.52","75.48","0","-","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","04-JUN-2018 12:40:04",,"::"
"W S Industries (I) Limited","37.69","62.31","0","-","30-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126491_15296_14062018113542_WEB.xml","14-JUN-2018 11:40:06",,"::"
"Allahabad Bank","71.81","28.19","0","-","29-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUN-2018 18:40:03",,"::"
"Religare Enterprises Limited","3.02","96.98","0","-","29-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","07-JUN-2018 23:40:04",,"::"
"Indiabulls Limited","39.59","60.41","0","-","28-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126457_12266_28052018073626_WEB.xml","28-MAY-2018 19:40:05",,"::"
"Sirca Paints India Limited","67.32","32.68","0","-","28-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","06-JUN-2018 18:10:08",,"::"
"IDBI Bank Limited","85.96","14.04","0","-","25-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126458_13074_30052018040112_WEB.xml","30-MAY-2018 16:10:06",,"::"
"GM Breweries Limited","74.43","25.57","0","-","24-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126450_11284_24052018082054_WEB.xml","24-MAY-2018 20:40:05",,"::"
"Neuland Laboratories Limited","36.04","63.96","0","-","24-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126451_11285_24052018082344_WEB.xml","24-MAY-2018 20:40:05",,"::"
"Salzer Electronics Limited","34.5","65.5","0","-","24-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","02-JUN-2018 21:10:03",,"::"
"Simplex Infrastructures Limited","49.29","50.71","0","-","23-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126447_11246_24052018064209_WEB.xml","24-MAY-2018 19:10:04",,"::"
"Ortel Communications Limited","55.43","43.92","0.64","-","22-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","02-JUN-2018 19:10:03",,"::"
"Minda Corporation Limited","64.67","32.98","2.35","-","21-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_126436_10441_22052018024316_WEB.xml","22-MAY-2018 15:10:05",,"::"
"UCO Bank","90.8","9.2","0","-","21-MAY-2018",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","05-JUN-2018 07:10:03",,"::"
